ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
9795,A,Ship,5,1,$226,2,medium,M,6,5395,TRUE
9796,B,Ship,5,4,$222,2,high,M,8,4996,FALSE
9797,C,Ship,4,1,$177,2,low,M,2,5911,TRUE
9798,F,Ship,4,4,$223,3,high,F,5,5654,TRUE
9799,D,Ship,5,5,$210,6,low,M,3,5051,TRUE
9800,F,Ship,4,2,$170,2,low,M,3,4299,TRUE
9801,A,Ship,5,5,$135,4,low,M,8,5029,TRUE
9802,B,Ship,3,5,$192,4,medium,F,7,4741,FALSE
9803,C,Ship,4,2,$204,3,medium,F,3,4001,TRUE
9804,F,Ship,3,4,$244,3,medium,M,4,4458,TRUE
9805,D,Ship,3,2,$255,4,low,F,8,5511,TRUE
9806,F,Ship,4,5,$160,2,medium,F,8,5234,TRUE
9807,A,Ship,4,1,$150,2,low,M,5,4133,TRUE
9808,B,Ship,4,2,$242,6,medium,F,10,5655,FALSE
9809,C,Ship,4,5,$240,6,medium,F,9,5498,FALSE
9810,F,Ship,2,4,$246,2,low,M,10,5337,FALSE
9811,D,Ship,3,1,$232,2,low,F,3,4562,FALSE
9812,F,Ship,4,3,$274,3,low,F,5,4409,TRUE
9813,A,Ship,4,3,$253,3,low,F,5,5703,TRUE
9814,B,Ship,5,1,$229,4,medium,M,1,4584,FALSE
9815,C,Ship,4,4,$131,3,medium,F,10,4625,TRUE
9816,F,Ship,4,3,$125,3,low,F,10,5883,TRUE
9817,D,Ship,3,3,$201,3,low,F,2,5540,FALSE
9818,F,Ship,4,4,$207,3,medium,F,1,4019,TRUE
9819,A,Ship,3,1,$144,2,medium,M,8,5378,FALSE
9820,B,Ship,3,5,$109,4,medium,F,4,4308,TRUE
9821,C,Ship,4,2,$161,2,high,F,8,5654,FALSE
9822,F,Ship,4,2,$151,3,medium,M,3,5154,FALSE
9823,D,Ship,3,3,$149,4,low,F,2,5282,TRUE
9824,F,Ship,5,5,$239,3,low,M,5,4122,TRUE
9825,A,Ship,4,3,$287,5,medium,M,6,4376,FALSE
9826,B,Ship,3,3,$132,2,medium,F,8,5810,FALSE
9827,C,Ship,5,2,$165,5,medium,M,9,5313,TRUE
9828,F,Ship,5,4,$143,2,low,M,1,5872,FALSE
9829,D,Ship,4,4,$262,3,medium,M,2,5429,TRUE
9830,F,Ship,5,3,$201,6,low,F,3,4025,FALSE
9831,A,Ship,4,3,$213,4,medium,M,8,4220,TRUE
9832,B,Ship,2,3,$269,2,low,M,3,5976,TRUE
9833,C,Ship,6,5,$217,4,low,F,2,4073,TRUE
9834,F,Ship,4,3,$133,2,low,F,10,4195,TRUE
9835,D,Ship,3,4,$248,3,medium,M,7,5299,TRUE
9836,F,Ship,4,3,$244,3,low,M,9,5339,TRUE
9837,A,Ship,4,1,$197,3,high,M,9,4917,TRUE
9838,B,Road,5,5,$268,4,low,F,9,4208,TRUE
9839,C,Road,5,5,$203,4,low,M,6,4557,FALSE
9840,F,Road,4,4,$224,2,low,F,3,4817,TRUE
9841,D,Road,3,4,$212,3,low,M,6,5935,FALSE
9842,F,Road,5,4,$208,6,medium,M,8,5098,TRUE
9843,A,Road,4,5,$155,3,medium,M,3,5939,FALSE
9844,B,Road,5,4,$260,3,low,M,8,4535,TRUE
9845,C,Road,2,2,$174,3,low,F,3,5348,TRUE
9846,F,Road,4,1,$161,3,medium,M,3,4590,TRUE
9847,D,Road,5,5,$246,3,medium,F,7,5167,TRUE
9848,F,Road,5,1,$173,4,medium,F,2,4615,TRUE
9849,A,Road,3,2,$175,2,low,M,9,4859,TRUE
9850,B,Road,5,1,$243,3,medium,F,10,4037,TRUE
9851,C,Road,3,2,$122,4,low,F,9,5299,FALSE
9852,F,Road,4,2,$219,2,low,F,1,5071,FALSE
9853,D,Road,3,2,$217,3,high,M,7,5910,TRUE
9854,F,Road,4,3,$250,6,medium,M,2,4246,TRUE
9855,A,Road,3,3,$274,3,low,F,5,5981,FALSE
9856,B,Road,2,2,$260,3,medium,F,6,4747,TRUE
9857,C,Road,4,4,$185,2,medium,F,1,4729,TRUE
9858,F,Road,4,5,$270,3,low,M,1,4131,TRUE
9859,D,Road,6,3,$166,5,medium,F,3,4596,FALSE
9860,F,Flight,4,4,$160,4,low,M,1,5520,FALSE
9861,A,Flight,3,2,$247,3,low,M,3,4338,TRUE
9862,B,Flight,4,2,$272,2,low,M,1,5703,FALSE
9863,C,Flight,4,5,$171,2,medium,F,1,4439,TRUE
9864,F,Flight,5,2,$211,3,medium,F,8,4962,TRUE
9865,D,Flight,3,4,$271,3,medium,M,1,4444,FALSE
9866,F,Flight,6,4,$155,5,medium,F,8,5982,TRUE
9867,A,Flight,4,1,$220,3,medium,F,7,4552,FALSE
9868,B,Flight,3,3,$220,3,low,F,10,5234,FALSE
9869,C,Flight,2,4,$285,3,high,M,6,4427,FALSE
9870,F,Flight,3,1,$109,6,low,F,5,4374,FALSE
9871,D,Flight,3,4,$194,3,medium,M,7,4565,TRUE
9872,F,Flight,3,3,$214,2,medium,F,9,4185,TRUE
9873,A,Flight,3,5,$161,3,low,F,4,5629,TRUE
9874,B,Flight,3,5,$202,4,medium,F,7,4458,TRUE
9875,C,Flight,3,3,$179,8,high,F,3,5429,FALSE
9876,F,Flight,5,1,$137,5,low,F,8,4584,TRUE
9877,D,Flight,6,1,$173,3,medium,F,2,4892,TRUE
9878,F,Flight,3,4,$243,3,medium,M,6,4950,TRUE
9879,A,Flight,4,2,$258,5,medium,M,2,1494,TRUE
9880,B,Flight,6,3,$245,4,low,F,3,1982,FALSE
9881,C,Flight,6,3,$296,4,low,F,4,1650,TRUE
9882,F,Ship,5,4,$267,5,low,M,9,1113,TRUE
9883,D,Ship,6,5,$268,4,medium,F,1,1248,FALSE
9884,F,Ship,7,4,$277,5,low,M,4,1373,TRUE
9885,A,Ship,6,1,$259,4,low,F,4,1198,TRUE
9886,B,Ship,5,1,$275,5,low,M,6,1156,FALSE
9887,C,Ship,6,3,$298,4,low,F,9,1515,FALSE
9888,F,Ship,5,2,$243,5,medium,F,4,1385,TRUE
9889,D,Ship,7,2,$255,4,medium,F,10,1372,TRUE
9890,F,Ship,4,5,$232,5,low,F,3,1817,TRUE
9891,A,Ship,3,4,$247,3,low,F,4,5844,TRUE
9892,B,Ship,4,4,$272,2,low,M,1,4013,FALSE
9893,C,Ship,4,1,$171,2,medium,F,10,4536,TRUE
9894,F,Ship,5,5,$211,3,medium,F,7,5983,FALSE
9895,D,Ship,3,1,$271,3,medium,M,1,5486,FALSE
9896,F,Ship,6,1,$155,5,medium,F,8,4882,TRUE
9897,A,Ship,4,5,$220,3,medium,F,1,4912,FALSE
9898,B,Ship,3,5,$220,3,low,F,5,4407,TRUE
9899,C,Ship,2,1,$285,3,high,F,7,4999,TRUE
9900,F,Ship,3,1,$109,6,low,F,6,5457,FALSE
9901,D,Ship,3,2,$194,3,medium,F,7,4727,FALSE
9902,F,Ship,3,5,$214,2,medium,F,6,4578,TRUE
9903,A,Ship,3,5,$161,3,low,F,10,5663,FALSE
9904,B,Ship,3,3,$202,4,medium,M,10,5137,FALSE
9905,C,Ship,3,2,$179,8,high,M,3,4584,TRUE
9906,F,Ship,5,1,$137,5,low,M,4,4586,FALSE
9907,D,Ship,6,2,$173,3,medium,F,4,5970,TRUE
9908,F,Ship,3,1,$243,3,medium,M,6,5371,TRUE
9909,A,Ship,4,5,$258,5,medium,M,2,1481,TRUE
9910,B,Ship,6,2,$245,4,low,F,9,1594,TRUE
9911,C,Ship,6,4,$296,4,low,M,4,1973,TRUE
9912,F,Ship,5,5,$267,5,low,F,1,1352,FALSE
9913,D,Ship,6,1,$268,4,medium,M,10,1958,TRUE
9914,F,Ship,7,2,$277,5,low,F,7,1260,FALSE
9915,A,Ship,6,2,$259,4,low,F,10,2000,FALSE
9916,B,Ship,5,3,$275,5,low,F,2,1816,TRUE
9917,C,Ship,6,2,$298,4,low,M,2,1648,TRUE
9918,F,Ship,5,5,$243,5,medium,M,2,1817,TRUE
9919,D,Ship,6,5,$280,4,low,F,3,1819,FALSE
9920,F,Ship,6,3,$277,4,medium,M,6,1623,FALSE
9921,A,Ship,6,4,$284,4,low,F,7,1518,FALSE
9922,B,Ship,4,1,$258,5,low,M,8,1306,TRUE
9923,C,Ship,7,1,$254,4,low,F,5,1865,FALSE
9924,F,Ship,5,4,$263,5,medium,M,8,1548,TRUE
9925,D,Ship,6,2,$267,4,low,M,10,1580,TRUE
9926,F,Ship,6,3,$247,4,medium,M,7,1626,FALSE
9927,A,Ship,5,1,$233,5,medium,F,6,1631,FALSE
9928,B,Ship,7,2,$254,4,medium,F,9,1788,TRUE
9929,C,Ship,6,1,$289,5,medium,M,7,1223,TRUE
9930,F,Ship,6,2,$282,4,medium,M,6,1674,TRUE
9931,D,Ship,5,3,$243,6,medium,M,10,1729,FALSE
9932,F,Ship,5,3,$243,5,medium,M,8,1223,FALSE
9933,A,Ship,4,2,$228,5,low,F,3,1473,FALSE
9934,B,Ship,5,5,$235,5,low,M,4,1758,TRUE
9935,C,Ship,4,4,$274,6,low,M,10,1355,FALSE
9936,F,Ship,6,4,$254,5,medium,F,10,1435,TRUE
9937,D,Ship,4,5,$251,6,low,F,1,1625,TRUE
9938,F,Ship,7,1,$310,4,medium,F,8,1601,FALSE
9939,A,Ship,7,3,$288,4,medium,M,3,1989,TRUE
9940,B,Ship,4,3,$218,5,medium,F,9,1024,TRUE
9941,C,Ship,5,5,$251,5,medium,F,10,1683,TRUE
9942,F,Ship,5,3,$263,5,medium,F,6,1192,TRUE
9943,D,Ship,4,4,$266,6,low,F,2,1776,FALSE
9944,F,Ship,6,2,$307,4,low,F,9,1674,TRUE
9945,A,Ship,7,5,$268,4,medium,F,9,1754,FALSE
9946,B,Ship,6,5,$157,5,low,F,10,1133,TRUE
9947,C,Ship,7,3,$262,4,low,F,1,1384,FALSE
9948,F,Ship,4,2,$245,5,medium,M,10,1668,FALSE
9949,D,Ship,5,5,$217,6,medium,M,5,1616,TRUE
9950,F,Ship,6,3,$259,4,high,F,7,1208,TRUE
9951,A,Ship,5,2,$238,5,low,F,4,1962,TRUE
9952,B,Ship,6,4,$288,4,medium,F,9,1575,TRUE
9953,C,Ship,7,4,$284,4,low,M,3,1751,FALSE
9954,F,Ship,4,4,$243,5,medium,M,2,1842,TRUE
9955,D,Ship,6,2,$260,4,low,F,8,1522,TRUE
9956,F,Ship,4,3,$264,5,low,F,2,1541,TRUE
9957,A,Ship,5,2,$269,5,medium,F,10,1113,FALSE
9958,B,Ship,7,4,$282,4,low,M,6,1800,TRUE
9959,C,Ship,5,2,$250,6,low,M,1,1296,FALSE
9960,F,Ship,5,5,$230,5,low,F,8,1067,TRUE
9961,D,Ship,6,5,$254,4,high,F,10,1217,TRUE
9962,F,Ship,5,4,$256,5,low,M,2,1723,FALSE
9963,A,Ship,4,2,$255,5,low,F,7,1378,TRUE
9964,B,Ship,7,3,$306,4,low,M,2,1790,FALSE
9965,C,Ship,6,2,$189,2,low,F,2,1837,TRUE
9966,F,Ship,6,3,$280,4,low,M,2,1753,TRUE
9967,D,Ship,6,5,$310,4,medium,F,10,1553,TRUE
9968,F,Ship,5,4,$266,2,medium,M,1,5494,TRUE
9969,A,Ship,3,3,$196,3,low,M,4,5622,TRUE
9970,B,Ship,3,2,$198,5,medium,F,6,5443,TRUE
9971,C,Ship,5,5,$163,2,high,M,6,5253,FALSE
9972,F,Ship,3,3,$137,3,low,F,8,4742,TRUE
9973,D,Ship,3,1,$167,2,low,F,8,4171,FALSE
9974,F,Ship,3,5,$115,2,low,M,10,4200,TRUE
9975,A,Road,5,2,$192,2,low,M,5,4046,TRUE
9976,B,Road,4,2,$238,5,medium,M,9,4618,TRUE
9977,C,Road,4,2,$142,3,low,M,2,4790,FALSE
9978,F,Road,3,2,$256,2,low,F,7,5725,FALSE
9979,D,Road,4,1,$208,3,medium,F,7,4592,TRUE
9980,F,Road,3,2,$257,2,medium,M,8,4242,FALSE
9981,A,Road,4,3,$227,3,medium,M,8,5829,FALSE
9982,B,Road,4,2,$219,4,low,M,8,5660,TRUE
9983,C,Road,5,3,$202,2,low,F,9,5645,FALSE
9984,F,Road,4,2,$158,3,medium,F,9,4078,FALSE
9985,D,Road,6,3,$235,3,low,F,7,4829,FALSE
9986,F,Road,4,4,$233,3,low,M,9,4300,FALSE
9987,A,Road,4,5,$244,3,medium,M,3,5857,FALSE
9988,B,Road,3,5,$244,5,medium,F,10,4163,TRUE
9989,C,Road,3,5,$148,3,low,M,4,5919,TRUE
9990,F,Road,5,5,$171,2,high,M,8,4602,TRUE
9991,D,Road,5,2,$197,5,low,F,4,4196,FALSE
9992,F,Road,3,1,$256,3,low,F,5,5643,TRUE
9993,A,Road,6,3,$223,2,medium,M,7,5007,TRUE
9994,B,Road,5,2,$271,4,low,F,4,4066,TRUE
9995,C,Road,2,1,$135,4,medium,F,8,5001,FALSE
9996,F,Road,6,4,$272,2,low,M,7,4145,TRUE
9997,D,Flight,3,1,$265,3,medium,F,10,4244,TRUE
9998,F,Flight,5,5,$180,2,high,M,5,4585,FALSE
9999,A,Flight,5,3,$187,3,low,M,2,5967,TRUE
10000,B,Flight,3,3,$158,3,low,M,1,5502,TRUE
10001,C,Flight,4,1,$234,2,medium,F,4,5164,TRUE
10002,F,Flight,6,4,$224,5,medium,M,10,5602,TRUE
10003,D,Flight,4,4,$153,3,medium,M,3,4422,FALSE
10004,F,Flight,3,5,$125,2,low,F,2,4182,FALSE
10005,A,Flight,4,1,$204,3,medium,M,3,4310,TRUE
10006,B,Flight,3,1,$199,3,high,M,3,5127,TRUE
10007,C,Flight,3,4,$216,3,low,F,3,5149,TRUE
10008,F,Flight,4,3,$183,3,low,F,6,5712,FALSE
10009,D,Flight,4,3,$136,3,medium,F,4,5769,FALSE
10010,F,Flight,4,1,$269,3,low,F,3,4409,FALSE
10011,A,Flight,5,5,$105,4,low,M,6,5135,FALSE
10012,B,Flight,4,2,$253,2,low,F,4,4502,FALSE
10013,C,Flight,3,1,$263,3,medium,M,4,4616,TRUE
10014,F,Flight,4,1,$266,3,low,M,10,4382,TRUE
10015,D,Flight,3,3,$185,2,low,M,4,4746,TRUE
10016,F,Flight,3,4,$245,2,medium,F,1,4427,TRUE
10017,A,Flight,3,5,$184,3,medium,F,9,4969,TRUE
10018,B,Flight,5,4,$235,3,medium,F,8,4636,TRUE
10019,C,Ship,3,2,$247,3,medium,M,8,5194,TRUE
10020,F,Ship,4,4,$145,2,medium,M,9,5070,TRUE
10021,D,Ship,3,3,$158,2,low,F,4,5960,TRUE
10022,F,Ship,4,5,$268,2,low,M,2,4721,FALSE
10023,A,Ship,3,1,$186,3,medium,F,4,5515,FALSE
10024,B,Ship,2,3,$226,3,medium,M,8,5106,FALSE
10025,C,Ship,5,1,$258,3,medium,M,7,4466,FALSE
10026,F,Ship,3,4,$189,3,high,M,2,5464,TRUE
10027,D,Ship,5,3,$255,4,medium,F,4,4178,FALSE
10028,F,Ship,5,5,$207,4,low,F,1,5035,TRUE
10029,A,Ship,3,5,$271,3,low,M,2,5229,FALSE
10030,B,Ship,3,4,$239,4,medium,F,10,5455,FALSE
10031,C,Ship,4,4,$186,3,low,F,8,4969,FALSE
10032,F,Ship,4,1,$139,3,medium,F,7,4275,TRUE
10033,D,Ship,3,3,$224,6,medium,M,10,4221,TRUE
10034,F,Ship,4,2,$198,2,high,M,2,5662,TRUE
10035,A,Ship,4,4,$102,3,high,F,9,5644,FALSE
10036,B,Ship,3,3,$219,3,high,M,5,4321,TRUE
10037,C,Ship,4,5,$240,5,medium,M,8,4314,TRUE
10038,F,Ship,3,2,$222,2,medium,M,1,4021,FALSE
10039,D,Ship,2,2,$221,2,medium,F,3,4500,FALSE
10040,F,Ship,5,3,$229,2,medium,F,1,5294,FALSE
10041,A,Ship,5,2,$146,3,low,F,5,4725,TRUE
10042,B,Ship,3,3,$165,2,low,M,1,5661,TRUE
10043,C,Ship,4,4,$200,3,low,F,7,5807,FALSE
10044,F,Ship,4,2,$232,2,low,M,5,4907,TRUE
10045,D,Ship,5,5,$240,2,low,F,2,5655,TRUE
10046,F,Ship,5,4,$240,4,medium,M,7,4552,FALSE
10047,A,Ship,3,2,$187,3,medium,F,7,5334,TRUE
10048,B,Ship,5,4,$239,3,low,F,7,4960,TRUE
10049,C,Ship,3,1,$171,4,medium,F,6,5398,TRUE
10050,F,Ship,4,2,$239,4,medium,M,8,4039,TRUE
10051,D,Ship,4,2,$166,5,low,M,8,4493,TRUE
10052,F,Ship,6,1,$113,2,medium,F,7,5234,FALSE
10053,A,Ship,4,3,$104,5,low,F,6,4617,FALSE
10054,B,Ship,3,4,$270,3,medium,F,10,5417,TRUE
10055,C,Ship,5,1,$145,2,medium,M,8,4485,FALSE
10056,F,Ship,3,5,$171,3,medium,M,5,4075,FALSE
10057,D,Ship,4,5,$160,3,low,F,9,5799,FALSE
10058,F,Ship,4,2,$210,2,medium,F,1,5437,FALSE
10059,A,Ship,4,1,$256,4,medium,F,3,5324,TRUE
10060,B,Ship,4,5,$155,3,low,F,10,5315,FALSE
10061,C,Ship,5,1,$126,5,medium,F,2,5659,FALSE
10062,F,Ship,3,1,$189,3,low,M,1,4886,TRUE
10063,D,Ship,4,1,$206,3,high,M,2,5013,FALSE
10064,F,Ship,4,3,$242,2,medium,M,2,5879,TRUE
10065,A,Ship,3,1,$258,2,low,F,4,5262,TRUE
10066,B,Ship,4,4,$196,4,low,F,10,4871,FALSE
10067,C,Ship,3,3,$209,3,low,M,1,5186,TRUE
10068,F,Ship,4,4,$259,2,low,M,6,4308,FALSE
10069,D,Ship,2,1,$140,2,medium,F,8,4965,TRUE
10070,F,Ship,5,3,$141,2,medium,F,10,4651,TRUE
10071,A,Ship,3,1,$160,2,medium,M,5,4435,FALSE
10072,B,Ship,5,4,$208,4,medium,F,8,4116,TRUE
10073,C,Ship,3,4,$198,3,low,F,3,5322,TRUE
10074,F,Ship,4,4,$264,3,low,M,6,5959,FALSE
10075,D,Ship,4,3,$136,4,low,M,10,5911,TRUE
10076,F,Ship,4,4,$221,4,low,F,2,5595,FALSE
10077,A,Ship,5,3,$242,3,low,F,10,4889,FALSE
10078,B,Ship,4,2,$162,3,low,M,7,5614,TRUE
10079,C,Ship,4,5,$258,3,low,F,3,5422,FALSE
10080,F,Ship,5,3,$172,3,medium,F,3,4056,TRUE
10081,D,Ship,4,4,$222,4,medium,M,6,4733,TRUE
10082,F,Ship,3,2,$215,2,low,F,7,4305,TRUE
10083,A,Ship,3,4,$164,2,low,M,1,4067,FALSE
10084,B,Ship,5,1,$233,3,low,F,6,5560,TRUE
10085,C,Ship,4,4,$249,3,medium,F,1,5743,TRUE
10086,F,Ship,4,5,$217,3,low,F,3,5380,FALSE
10087,D,Ship,4,3,$260,3,low,M,1,4796,TRUE
10088,F,Ship,4,1,$219,2,medium,M,6,5314,TRUE
10089,A,Ship,4,1,$267,4,medium,M,2,4024,TRUE
10090,B,Ship,5,3,$137,4,low,F,9,4754,TRUE
10091,C,Ship,4,5,$141,2,low,M,1,4395,FALSE
10092,F,Ship,4,2,$201,2,medium,M,6,5729,TRUE
10093,D,Ship,5,1,$125,4,medium,M,3,5595,TRUE
10094,F,Ship,3,1,$173,2,medium,F,1,5927,FALSE
10095,A,Ship,3,5,$271,2,medium,F,6,4020,FALSE
10096,B,Ship,4,5,$243,3,low,M,9,5263,TRUE
10097,C,Ship,5,1,$151,3,low,F,9,4895,TRUE
10098,F,Ship,4,4,$224,4,medium,F,2,4503,FALSE
10099,D,Ship,3,2,$141,3,low,M,7,4682,TRUE
10100,F,Ship,3,2,$133,3,medium,M,10,5803,TRUE
10101,A,Ship,3,2,$239,3,low,M,4,5628,FALSE
10102,B,Ship,4,3,$203,2,low,M,8,5597,TRUE
10103,C,Ship,4,2,$220,3,low,F,9,5896,TRUE
10104,F,Ship,4,3,$212,2,low,M,8,5513,TRUE
10105,D,Ship,2,4,$252,4,medium,M,4,4787,TRUE
10106,F,Ship,5,5,$265,3,low,M,3,5637,TRUE
10107,A,Ship,4,2,$199,3,low,M,7,5342,TRUE
10108,B,Ship,3,5,$209,3,high,F,4,5413,TRUE
10109,C,Ship,4,5,$254,3,low,F,7,4363,TRUE
10110,F,Ship,2,3,$216,3,high,M,9,4032,FALSE
10111,D,Ship,5,4,$196,2,medium,M,2,5515,TRUE
10112,F,Road,4,4,$258,3,high,M,2,5420,TRUE
10113,A,Road,3,3,$137,3,high,M,7,5794,FALSE
10114,B,Road,6,5,$282,4,low,M,10,4901,TRUE
10115,C,Road,3,2,$156,2,medium,M,10,4276,TRUE
10116,F,Road,4,5,$237,5,medium,M,4,4917,TRUE
10117,D,Road,4,5,$170,3,medium,M,3,4695,FALSE
10118,F,Road,4,1,$243,3,high,F,9,4277,TRUE
10119,A,Road,4,5,$163,3,medium,F,2,4887,TRUE
10120,B,Road,3,4,$257,3,low,F,4,4883,TRUE
10121,C,Road,5,4,$179,6,medium,M,1,5433,TRUE
10122,F,Road,3,3,$274,4,medium,F,7,4828,TRUE
10123,D,Road,3,4,$174,2,low,F,4,4295,FALSE
10124,F,Road,4,2,$162,6,low,F,4,4094,TRUE
10125,A,Road,6,2,$269,6,medium,M,4,4423,TRUE
10126,B,Road,4,1,$147,2,low,M,8,4600,FALSE
10127,C,Road,6,4,$286,4,medium,F,5,4262,TRUE
10128,F,Road,2,5,$271,3,low,F,6,5471,FALSE
10129,D,Road,5,2,$130,4,high,M,4,4371,TRUE
10130,F,Road,4,5,$258,2,medium,F,2,4303,FALSE
10131,A,Road,5,1,$151,3,medium,F,1,4981,TRUE
10132,B,Road,5,4,$208,8,medium,F,4,5155,FALSE
10133,C,Road,6,2,$137,10,low,F,5,4510,TRUE
10134,F,Flight,3,1,$250,3,medium,F,8,5509,TRUE
10135,D,Flight,4,5,$211,2,low,F,4,4106,FALSE
10136,F,Flight,4,1,$196,3,medium,F,9,5216,FALSE
10137,A,Flight,3,4,$174,3,low,F,3,5366,FALSE
10138,B,Flight,6,5,$277,4,medium,F,5,1845,FALSE
10139,C,Flight,6,2,$284,4,low,F,7,1181,FALSE
10140,F,Flight,4,5,$258,5,low,M,3,1162,TRUE
10141,D,Flight,7,1,$254,4,low,M,9,1876,TRUE
10142,F,Flight,5,5,$263,5,medium,M,10,1789,FALSE
10143,A,Flight,6,5,$267,4,low,M,3,1550,TRUE
10144,B,Flight,6,4,$247,4,medium,M,2,1858,FALSE
10145,C,Flight,5,1,$233,5,medium,M,4,1622,TRUE
10146,F,Flight,7,5,$254,4,medium,F,6,1014,TRUE
10147,D,Flight,6,3,$289,5,medium,F,1,1949,FALSE
10148,F,Flight,6,2,$282,4,medium,F,9,1385,TRUE
10149,A,Flight,5,3,$243,6,medium,F,10,1189,FALSE
10150,B,Flight,5,1,$243,5,medium,M,8,1732,TRUE
10151,C,Flight,4,5,$228,5,low,M,2,1996,TRUE
10152,F,Flight,5,4,$235,5,low,F,8,1549,TRUE
10153,D,Flight,4,1,$274,6,low,M,8,1141,FALSE
10154,F,Flight,6,3,$254,5,medium,F,7,1615,FALSE
10155,A,Flight,4,4,$237,5,medium,F,6,4586,TRUE
10156,B,Ship,4,4,$170,3,medium,M,4,4062,TRUE
10157,C,Ship,4,4,$243,3,high,F,4,5082,FALSE
10158,F,Ship,4,5,$163,3,medium,M,1,4049,FALSE
10159,D,Ship,3,3,$257,3,low,M,5,4937,FALSE
10160,F,Ship,5,3,$179,6,medium,M,1,4930,FALSE
10161,A,Ship,3,1,$274,4,medium,M,4,4057,TRUE
10162,B,Ship,3,4,$174,2,low,M,7,4596,TRUE
10163,C,Ship,4,1,$162,6,low,M,1,5525,FALSE
10164,F,Ship,6,1,$269,6,medium,F,2,5363,TRUE
10165,D,Ship,4,3,$147,2,low,M,2,5431,TRUE
10166,F,Ship,6,5,$286,4,medium,F,4,4889,TRUE
10167,A,Ship,2,5,$271,3,low,M,9,4185,TRUE
10168,B,Ship,5,1,$130,4,high,F,9,4946,FALSE
10169,C,Ship,4,4,$258,2,medium,F,5,4562,TRUE
10170,F,Ship,5,5,$151,3,medium,M,2,5506,TRUE
10171,D,Ship,5,2,$208,8,medium,M,5,4751,TRUE
10172,F,Ship,6,2,$137,10,low,F,4,4490,TRUE
10173,A,Ship,3,2,$250,3,medium,M,6,4636,TRUE
10174,B,Ship,4,3,$211,2,low,F,6,5473,FALSE
10175,C,Ship,4,4,$196,3,medium,F,2,4320,FALSE
10176,F,Ship,3,2,$174,3,low,F,3,5207,FALSE
10177,D,Ship,6,3,$277,4,medium,F,6,1433,TRUE
10178,F,Ship,6,3,$284,4,low,F,3,1291,TRUE
10179,A,Ship,4,4,$258,5,low,M,9,1947,FALSE
10180,B,Ship,7,2,$254,4,low,M,6,1006,TRUE
10181,C,Ship,5,5,$263,5,medium,M,2,1417,TRUE
10182,F,Ship,6,1,$267,4,low,M,9,1146,FALSE
10183,D,Ship,6,2,$247,4,medium,M,3,1118,TRUE
10184,F,Ship,5,3,$233,5,medium,F,3,1398,TRUE
10185,A,Ship,7,5,$254,4,medium,F,1,1347,TRUE
10186,B,Ship,6,2,$289,5,medium,F,10,1607,FALSE
10187,C,Ship,6,3,$282,4,medium,F,8,1375,TRUE
10188,F,Ship,5,2,$243,6,medium,M,7,1752,TRUE
10189,D,Ship,5,4,$243,5,medium,F,4,1813,TRUE
10190,F,Ship,4,1,$228,5,low,F,6,1874,TRUE
10191,A,Ship,5,5,$235,5,low,M,8,1332,FALSE
10192,B,Ship,7,3,$306,4,low,F,4,1630,TRUE
10193,C,Ship,6,1,$189,2,low,F,6,1269,TRUE
10194,F,Ship,6,4,$280,4,low,M,4,1831,FALSE
10195,D,Ship,6,4,$310,4,medium,M,1,1494,FALSE
10196,F,Ship,4,3,$264,6,medium,F,10,1962,FALSE
10197,A,Ship,5,5,$243,6,low,M,9,1348,TRUE
10198,B,Ship,5,5,$245,5,low,M,5,1252,TRUE
10199,C,Ship,5,5,$239,6,low,M,1,1384,TRUE
10200,F,Ship,4,3,$248,5,low,F,7,1789,FALSE
10201,D,Ship,6,1,$268,4,low,F,1,1654,FALSE
10202,F,Ship,6,4,$271,4,low,F,6,1503,TRUE
10203,A,Ship,4,5,$233,5,low,F,8,1040,FALSE
10204,B,Ship,5,1,$245,5,low,M,9,1694,FALSE
10205,C,Ship,5,2,$248,5,medium,F,1,1845,FALSE
10206,F,Ship,5,2,$234,5,medium,M,6,1703,TRUE
10207,D,Ship,4,2,$259,5,medium,F,2,1054,TRUE
10208,F,Ship,5,1,$259,6,low,F,2,1876,TRUE
10209,A,Ship,5,2,$263,6,low,M,2,1851,TRUE
10210,B,Ship,3,1,$158,5,low,M,4,1171,FALSE
10211,C,Ship,5,5,$270,5,low,M,5,1852,FALSE
10212,F,Ship,4,3,$271,5,low,M,6,1555,FALSE
10213,D,Ship,5,5,$237,5,medium,F,9,1709,TRUE
10214,F,Ship,6,1,$250,4,medium,M,5,1747,TRUE
10215,A,Ship,4,2,$270,5,low,F,10,1340,TRUE
10216,B,Ship,4,5,$242,6,low,F,9,1858,TRUE
10217,C,Ship,5,1,$271,5,low,F,4,1557,FALSE
10218,F,Ship,4,3,$254,5,low,F,8,1851,TRUE
10219,D,Ship,5,3,$274,5,medium,M,7,1696,FALSE
10220,F,Ship,4,3,$249,5,low,F,10,1067,FALSE
10221,A,Ship,4,3,$245,5,low,M,7,1182,TRUE
10222,B,Ship,4,5,$237,5,low,F,9,1978,FALSE
10223,C,Ship,4,3,$238,6,low,M,2,1898,TRUE
10224,F,Ship,5,3,$242,5,low,F,6,1681,TRUE
